query,case,seed,runtime_seconds
1a,2,5,0.86
1b,2,5,0.33
1c,2,5,0.24
1d,2,5,0.52
2a,2,5,0.86
2b,2,5,0.86
2c,2,5,0.80
3a,2,5,1.29
3b,2,5,0.97
3c,2,5,1.51
4a,2,5,0.55
4b,2,5,0.31
5a,2,5,0.39
5b,2,5,0.23
5c,2,5,1.51
6a,2,5,0.56
6b,2,5,0.93
6d,2,5,1.32
10a,2,5,1.82
10b,2,5,1.77
10c,2,5,2.89
15a,2,5,1.62
15b,2,5,1.35
15c,2,5,1.66
15d,2,5,1.46
24a,2,5,2.19
24b,2,5,1.78
1a,2,6,0.87
1b,2,6,0.33
1c,2,6,0.24
1d,2,6,0.51
2a,2,6,0.90
2b,2,6,0.87
2c,2,6,0.78
3a,2,6,1.38
3b,2,6,0.97
3c,2,6,1.66
4a,2,6,0.59
4b,2,6,0.31
5a,2,6,0.41
5b,2,6,0.24
5c,2,6,1.42
6a,2,6,0.55
6b,2,6,0.48
6d,2,6,1.10
10a,2,6,1.88
10b,2,6,1.67
10c,2,6,2.78
15a,2,6,1.39
15b,2,6,1.00
15c,2,6,1.48
15d,2,6,1.34
24a,2,6,2.22
24b,2,6,2.10
1a,2,7,0.88
1b,2,7,0.33
1c,2,7,0.24
1d,2,7,0.51
2a,2,7,0.87
2b,2,7,0.84
2c,2,7,0.79
3a,2,7,1.29
3b,2,7,0.98
3c,2,7,1.50
4a,2,7,0.55
4b,2,7,0.31
5a,2,7,0.40
5b,2,7,0.23
5c,2,7,1.66
6a,2,7,0.47
6b,2,7,0.92
6d,2,7,1.10
10a,2,7,1.92
10b,2,7,1.68
10c,2,7,2.81
15a,2,7,1.38
15b,2,7,1.22
15c,2,7,1.44
15d,2,7,1.31
24a,2,7,2.18
24b,2,7,1.84
1a,2,8,0.15
1b,2,8,0.11
1c,2,8,0.11
1d,2,8,0.12
2a,2,8,0.32
2b,2,8,0.29
2c,2,8,0.09
3a,2,8,1.29
3b,2,8,0.99
3c,2,8,1.49
4a,2,8,0.37
4b,2,8,0.23
5a,2,8,0.07
5b,2,8,0.08
5c,2,8,1.12
6a,2,8,0.47
6b,2,8,0.92
6d,2,8,1.10
10a,2,8,1.86
10b,2,8,1.71
10c,2,8,2.83
15a,2,8,1.31
15b,2,8,0.99
15c,2,8,1.40
15d,2,8,1.22
24a,2,8,2.29
24b,2,8,1.93
1a,2,9,0.87
1b,2,9,0.33
1c,2,9,0.25
1d,2,9,0.50
2a,2,9,0.88
2b,2,9,0.91
2c,2,9,0.79
3a,2,9,1.05
3b,2,9,0.89
3c,2,9,1.11
4a,2,9,0.53
4b,2,9,0.31
5a,2,9,0.40
5b,2,9,0.24
5c,2,9,1.45
6a,2,9,0.57
6b,2,9,0.51
6d,2,9,1.11
10a,2,9,1.82
10b,2,9,1.65
10c,2,9,2.87
15a,2,9,1.33
15b,2,9,1.21
15c,2,9,1.38
15d,2,9,1.20
24a,2,9,2.28
24b,2,9,2.08
1a,3,0,0.85
1b,3,0,0.33
1c,3,0,0.24
1d,3,0,0.53
2a,3,0,0.91
2b,3,0,0.87
2c,3,0,0.81
3a,3,0,1.39
3b,3,0,0.98
3c,3,0,1.65
4a,3,0,0.56
4b,3,0,0.30
5a,3,0,0.39
5b,3,0,0.24
5c,3,0,1.45
6a,3,0,0.56
6b,3,0,0.94
6d,3,0,1.33
10a,3,0,1.88
10b,3,0,1.72
10c,3,0,2.89
15a,3,0,1.65
15b,3,0,1.34
15c,3,0,1.72
15d,3,0,1.58
24a,3,0,2.41
24b,3,0,2.06
1a,3,1,0.86
1b,3,1,0.34
1c,3,1,0.25
1d,3,1,0.51
2a,3,1,0.92
2b,3,1,0.89
2c,3,1,0.80
3a,3,1,1.30
3b,3,1,0.98
3c,3,1,1.50
4a,3,1,0.50
4b,3,1,0.31
5a,3,1,0.40
5b,3,1,0.25
5c,3,1,1.50
6a,3,1,0.57
6b,3,1,0.92
6d,3,1,1.31
10a,3,1,1.86
10b,3,1,1.70
10c,3,1,2.84
15a,3,1,1.45
15b,3,1,1.02
15c,3,1,1.59
15d,3,1,1.34
24a,3,1,2.35
24b,3,1,2.08
1a,3,2,0.14
1b,3,2,0.11
1c,3,2,0.11
1d,3,2,0.12
2a,3,2,0.32
2b,3,2,0.30
2c,3,2,0.09
3a,3,2,1.30
3b,3,2,1.00
3c,3,2,1.54
4a,3,2,0.36
4b,3,2,0.22
5a,3,2,0.08
5b,3,2,0.08
5c,3,2,1.15
6a,3,2,0.47
6b,3,2,0.92
6d,3,2,1.10
10a,3,2,1.86
10b,3,2,1.69
10c,3,2,2.80
15a,3,2,1.62
15b,3,2,1.36
15c,3,2,1.77
