dataset_id,treatment_case,bf_cost_multiplier,model,query_count,query_geomean_adjusted_speedup_vs_baseline,queries_still_faster,queries_now_slower
tpcds_sf20_t8,2,1,cpu_share,98,1.2539415,46,9
tpcds_sf20_t8,2,1.5,cpu_share,98,1.21037719,44,43
tpcds_sf20_t8,2,2,cpu_share,98,1.17106889,44,43
tpcds_sf20_t8,2,4,cpu_share,98,1.04284683,29,58
tpcds_sf20_t8,2,8,cpu_share,98,0.870718309,9,78
tpcds_sf20_t8,4,1,cpu_share,98,1.27925046,53,12
tpcds_sf20_t8,4,1.5,cpu_share,98,1.18843545,50,41
tpcds_sf20_t8,4,2,cpu_share,98,1.1127042,46,45
tpcds_sf20_t8,4,4,cpu_share,98,0.896819102,24,67
tpcds_sf20_t8,4,8,cpu_share,98,0.660498737,7,84
tpcds_sf50_t1,2,1,cpu_share,98,1.39051702,64,23
tpcds_sf50_t1,2,1,direct_add,98,1.39051702,64,23
tpcds_sf50_t1,2,1.5,cpu_share,98,1.33702218,64,28
tpcds_sf50_t1,2,1.5,direct_add,98,1.34463458,64,28
tpcds_sf50_t1,2,2,cpu_share,98,1.28915061,61,31
tpcds_sf50_t1,2,2,direct_add,98,1.30288607,61,31
tpcds_sf50_t1,2,4,cpu_share,98,1.13592692,55,37
tpcds_sf50_t1,2,4,direct_add,98,1.16499387,57,35
tpcds_sf50_t1,2,8,cpu_share,98,0.935189121,28,64
tpcds_sf50_t1,2,8,direct_add,98,0.976647736,37,55
tpcds_sf50_t1,4,1,cpu_share,98,1.53003409,71,21
tpcds_sf50_t1,4,1,direct_add,98,1.53003409,71,21
tpcds_sf50_t1,4,1.5,cpu_share,98,1.42458792,64,33
tpcds_sf50_t1,4,1.5,direct_add,98,1.43883653,65,32
tpcds_sf50_t1,4,2,cpu_share,98,1.33551079,62,35
tpcds_sf50_t1,4,2,direct_add,98,1.36004936,62,35
tpcds_sf50_t1,4,4,cpu_share,98,1.08312581,47,50
tpcds_sf50_t1,4,4,direct_add,98,1.12804164,51,46
tpcds_sf50_t1,4,8,cpu_share,98,0.805136284,23,74
tpcds_sf50_t1,4,8,direct_add,98,0.859853435,25,72
tpcds_sf50_t64,2,1,cpu_share,98,1.04263535,16,9
tpcds_sf50_t64,2,1.5,cpu_share,98,1.0355464,14,73
tpcds_sf50_t64,2,2,cpu_share,98,1.02863845,13,74
tpcds_sf50_t64,2,4,cpu_share,98,1.00246371,11,76
tpcds_sf50_t64,2,8,cpu_share,98,0.956651848,9,78
tpcds_sf50_t64,4,1,cpu_share,98,1.01000312,18,36
tpcds_sf50_t64,4,1.5,cpu_share,98,0.993393939,14,77
tpcds_sf50_t64,4,2,cpu_share,98,0.977806724,13,78
tpcds_sf50_t64,4,4,cpu_share,98,0.923369419,10,81
tpcds_sf50_t64,4,8,cpu_share,98,0.838396046,6,85
tpcds_sf50_t8,2,1,cpu_share,98,1.29935243,57,9
tpcds_sf50_t8,2,1.5,cpu_share,98,1.25255851,55,32
tpcds_sf50_t8,2,2,cpu_share,98,1.21015588,53,34
tpcds_sf50_t8,2,4,cpu_share,98,1.07327776,42,45
tpcds_sf50_t8,2,8,cpu_share,98,0.890234667,12,75
tpcds_sf50_t8,4,1,cpu_share,98,1.34869083,65,13
tpcds_sf50_t8,4,1.5,cpu_share,98,1.25238227,60,33
tpcds_sf50_t8,4,2,cpu_share,98,1.17160028,57,36
tpcds_sf50_t8,4,4,cpu_share,98,0.943355617,33,60
tpcds_sf50_t8,4,8,cpu_share,98,0.695491675,9,84
tpch_sf100_t1,2,1,cpu_share,22,1.23812019,14,8
tpch_sf100_t1,2,1,direct_add,22,1.23812019,14,8
tpch_sf100_t1,2,1.5,cpu_share,22,1.20106397,14,8
tpch_sf100_t1,2,1.5,direct_add,22,1.20300445,14,8
tpch_sf100_t1,2,2,cpu_share,22,1.16908374,13,9
tpch_sf100_t1,2,2,direct_add,22,1.17237044,13,9
tpch_sf100_t1,2,4,cpu_share,22,1.0716159,13,9
tpch_sf100_t1,2,4,direct_add,22,1.07837785,13,9
tpch_sf100_t1,2,8,cpu_share,22,0.944706008,10,12
tpch_sf100_t1,2,8,direct_add,22,0.954373896,10,12
tpch_sf100_t1,4,1,cpu_share,22,1.42332422,19,3
tpch_sf100_t1,4,1,direct_add,22,1.42332422,19,3
tpch_sf100_t1,4,1.5,cpu_share,22,1.32832229,19,3
tpch_sf100_t1,4,1.5,direct_add,22,1.33318941,19,3
tpch_sf100_t1,4,2,cpu_share,22,1.25092884,18,4
tpch_sf100_t1,4,2,direct_add,22,1.25900544,18,4
tpch_sf100_t1,4,4,cpu_share,22,1.0381422,15,7
tpch_sf100_t1,4,4,direct_add,22,1.05203928,15,7
tpch_sf100_t1,4,8,cpu_share,22,0.81239939,8,14
tpch_sf100_t1,4,8,direct_add,22,0.828793406,8,14
tpch_sf100_t64,2,1,cpu_share,22,1.01620125,7,6
tpch_sf100_t64,2,1.5,cpu_share,22,1.00786686,6,7
tpch_sf100_t64,2,2,cpu_share,22,1.00005801,5,8
tpch_sf100_t64,2,4,cpu_share,22,0.971969178,3,10
tpch_sf100_t64,2,8,cpu_share,22,0.923403532,2,11
tpch_sf100_t64,4,1,cpu_share,22,1.01527923,8,8
