dataset_id,benchmark,suite,scale_factor,threads,comparison,query_count,queries_with_paired_success,query_geomean_of_median_speedup,query_median_of_median_speedup,queries_treatment_faster,queries_treatment_slower,queries_tied,queries_at_least_10pct_faster,queries_at_least_2x_faster
tpcds_sf50_t1,TPCDS SF50,tpcds,50,1,full_vs_thc,99,98,1.11805792,1,45,23,30,22,4
tpcds_sf50_t1,TPCDS SF50,tpcds,50,1,thc_vs_baseline,99,98,1.37083699,1.37288931,63,28,7,55,11
tpcds_sf50_t1,TPCDS SF50,tpcds,50,1,thc_vs_forward,99,98,0.986787971,1,5,33,60,0,0
tpcds_sf50_t64,TPCDS SF50,tpcds,50,64,backward_vs_forward,99,98,0.970332462,1,6,39,53,3,1
tpcds_sf50_t64,TPCDS SF50,tpcds,50,64,forward_vs_baseline,99,98,1.04263535,1,16,9,73,7,3
tpcds_sf50_t64,TPCDS SF50,tpcds,50,64,full_vs_baseline,99,98,1.01000312,1,18,36,44,9,4
tpcds_sf50_t64,TPCDS SF50,tpcds,50,64,full_vs_thc,99,98,0.973618093,1,6,41,51,3,1
tpcds_sf50_t64,TPCDS SF50,tpcds,50,64,thc_vs_baseline,99,98,1.037965,1,17,19,62,7,3
tpcds_sf50_t64,TPCDS SF50,tpcds,50,64,thc_vs_forward,99,98,0.995248073,1,3,5,90,0,0
tpcds_sf50_t8,TPCDS SF50,tpcds,50,8,backward_vs_forward,99,98,1.03965447,1,20,21,57,11,2
tpcds_sf50_t8,TPCDS SF50,tpcds,50,8,forward_vs_baseline,99,98,1.29935243,1.21537002,57,9,32,51,5
tpcds_sf50_t8,TPCDS SF50,tpcds,50,8,full_vs_baseline,99,98,1.34869083,1.29973917,65,13,20,59,8
tpcds_sf50_t8,TPCDS SF50,tpcds,50,8,full_vs_thc,99,98,1.0598942,1,24,21,53,15,2
tpcds_sf50_t8,TPCDS SF50,tpcds,50,8,thc_vs_baseline,99,98,1.28078638,1.20368073,54,16,28,50,5
tpcds_sf50_t8,TPCDS SF50,tpcds,50,8,thc_vs_forward,99,98,0.98357514,1,0,14,84,0,0
tpch_sf100_t1,TPCH SF100,tpch,100,1,backward_vs_forward,22,22,1.1346985,1.00451939,16,5,1,7,1
tpch_sf100_t1,TPCH SF100,tpch,100,1,forward_vs_baseline,22,22,1.23812019,1.00386865,14,8,0,8,3
tpch_sf100_t1,TPCH SF100,tpch,100,1,full_vs_baseline,22,22,1.42332422,1.4282637,19,3,0,13,4
tpch_sf100_t1,TPCH SF100,tpch,100,1,full_vs_thc,22,22,1.24896995,1.17464286,18,4,0,14,1
tpch_sf100_t1,TPCH SF100,tpch,100,1,thc_vs_baseline,22,22,1.12760426,1.00053422,11,11,0,6,2
tpch_sf100_t1,TPCH SF100,tpch,100,1,thc_vs_forward,22,22,0.910165044,0.969809232,5,17,0,0,0
tpch_sf100_t64,TPCH SF100,tpch,100,64,backward_vs_forward,22,22,0.999176563,1,4,9,9,0,0
tpch_sf100_t64,TPCH SF100,tpch,100,64,forward_vs_baseline,22,22,1.01620125,1,7,6,9,3,0
tpch_sf100_t64,TPCH SF100,tpch,100,64,full_vs_baseline,22,22,1.01527923,1,8,8,6,1,0
tpch_sf100_t64,TPCH SF100,tpch,100,64,full_vs_thc,22,22,1.05283114,1.01000019,13,7,2,4,0
tpch_sf100_t64,TPCH SF100,tpch,100,64,thc_vs_baseline,22,22,0.964860718,0.999506903,8,11,3,3,0
