dataset_id,query,treatment_case,bf_cost_multiplier,model,seed_count,median_adjusted_speedup_vs_baseline,geomean_adjusted_speedup_vs_baseline,seed_win_rate
appian_t64,q01,2,2,cpu_share,20,1,1,0.3
appian_t64,q01,2,4,cpu_share,20,1,1,0.3
appian_t64,q01,2,8,cpu_share,20,1,1,0.3
appian_t64,q01,4,1,cpu_share,20,1,1.00706758,0.3
appian_t64,q01,4,1.5,cpu_share,20,1,1.00706758,0.3
appian_t64,q01,4,2,cpu_share,20,1,1.00706758,0.3
appian_t64,q01,4,4,cpu_share,20,1,1.00706758,0.3
appian_t64,q01,4,8,cpu_share,20,1,1.00706758,0.3
appian_t64,q02,2,1,cpu_share,20,0.988095238,0.992803491,0.15
appian_t64,q02,2,1.5,cpu_share,20,0.988090154,0.992797341,0.15
appian_t64,q02,2,2,cpu_share,20,0.988085071,0.992791191,0.15
appian_t64,q02,2,4,cpu_share,20,0.988064737,0.992766591,0.15
appian_t64,q02,2,8,cpu_share,20,0.988024072,0.992717396,0.15
appian_t64,q02,4,1,cpu_share,20,0.988095238,0.989256577,0.15
appian_t64,q02,4,1.5,cpu_share,20,0.987908639,0.989116931,0.15
appian_t64,q02,4,2,cpu_share,20,0.987770499,0.988977328,0.15
appian_t64,q02,4,4,cpu_share,20,0.987268872,0.988419346,0.15
appian_t64,q02,4,8,cpu_share,20,0.986359758,0.987305433,0.15
appian_t64,q03,2,1,cpu_share,20,1.00641026,1.01070043,0.5
appian_t64,q03,2,1.5,cpu_share,20,1.00043329,1.00459854,0.5
appian_t64,q03,2,2,cpu_share,20,0.994526891,0.998569903,0.5
appian_t64,q03,2,4,cpu_share,20,0.971582628,0.975162022,0.2
appian_t64,q03,2,8,cpu_share,20,0.928730041,0.931491451,0
appian_t64,q03,4,1,cpu_share,20,0.98726063,0.992654552,0.3
appian_t64,q03,4,1.5,cpu_share,20,0.981252443,0.986500631,0.3
appian_t64,q03,4,2,cpu_share,20,0.975316946,0.980422634,0.3
appian_t64,q03,4,4,cpu_share,20,0.952224759,0.956842432,0.1
appian_t64,q03,4,8,cpu_share,20,0.909114279,0.912932041,0
appian_t64,q04,2,1,cpu_share,20,1,0.997825987,0.45
appian_t64,q04,2,1.5,cpu_share,20,1,0.997825987,0.45
appian_t64,q04,2,2,cpu_share,20,1,0.997825987,0.45
appian_t64,q04,2,4,cpu_share,20,1,0.997825987,0.45
appian_t64,q04,2,8,cpu_share,20,1,0.997825987,0.45
appian_t64,q04,4,1,cpu_share,20,0.992753623,0.993862627,0.35
appian_t64,q04,4,1.5,cpu_share,20,0.992670138,0.993751527,0.35
appian_t64,q04,4,2,cpu_share,20,0.992561183,0.993640452,0.35
appian_t64,q04,4,4,cpu_share,20,0.992105449,0.993196401,0.35
appian_t64,q04,4,8,cpu_share,20,0.9911391,0.992309503,0.35
appian_t64,q05,2,1,cpu_share,20,1,1.00093362,0.4
appian_t64,q05,2,1.5,cpu_share,20,1,1.00093362,0.4
appian_t64,q05,2,2,cpu_share,20,1,1.00093362,0.4
appian_t64,q05,2,4,cpu_share,20,1,1.00093362,0.4
appian_t64,q05,2,8,cpu_share,20,1,1.00093362,0.4
appian_t64,q05,4,1,cpu_share,20,1,0.994227556,0.15
appian_t64,q05,4,1.5,cpu_share,20,1,0.994227556,0.15
appian_t64,q05,4,2,cpu_share,20,1,0.994227556,0.15
appian_t64,q05,4,4,cpu_share,20,1,0.994227556,0.15
appian_t64,q05,4,8,cpu_share,20,1,0.994227556,0.15
appian_t64,q06,2,1,cpu_share,20,1,0.999048044,0.25
appian_t64,q06,2,1.5,cpu_share,20,0.999928727,0.998980023,0.25
appian_t64,q06,2,2,cpu_share,20,0.999857464,0.998912013,0.25
appian_t64,q06,2,4,cpu_share,20,0.999572515,0.998640062,0.25
appian_t64,q06,2,8,cpu_share,20,0.999003103,0.998096605,0.25
appian_t64,q06,4,1,cpu_share,20,1,0.998060807,0.25
appian_t64,q06,4,1.5,cpu_share,20,0.999882134,0.997940334,0.25
appian_t64,q06,4,2,cpu_share,20,0.999764296,0.997819891,0.25
appian_t64,q06,4,4,cpu_share,20,0.999293223,0.997338412,0.25
appian_t64,q06,4,8,cpu_share,20,0.998352407,0.996376861,0.25
appian_t64,q07,2,1,cpu_share,20,0.98245614,0.985954743,0.05
appian_t64,q07,2,1.5,cpu_share,20,0.982252694,0.985750467,0.05
appian_t64,q07,2,2,cpu_share,20,0.982049333,0.985546275,0.05
appian_t64,q07,2,4,cpu_share,20,0.981236727,0.984730353,0.05
appian_t64,q07,2,8,cpu_share,20,0.979615544,0.983102556,0.05
appian_t64,q07,4,1,cpu_share,20,1,0.993839593,0.2
appian_t64,q07,4,1.5,cpu_share,20,0.9994981,0.993343432,0.2
appian_t64,q07,4,2,cpu_share,20,0.998996704,0.992847766,0.2
appian_t64,q07,4,4,cpu_share,20,0.99699614,0.990870039,0.2
appian_t64,q07,4,8,cpu_share,20,0.993018956,0.986938138,0.2
appian_t64,q08,2,1,cpu_share,20,0.996774194,0.997435077,0.3
appian_t64,q08,2,1.5,cpu_share,20,0.99620699,0.996854294,0.3
appian_t64,q08,2,2,cpu_share,20,0.995640432,0.996274189,0.3
appian_t64,q08,2,4,cpu_share,20,0.993380629,0.993960522,0.3
appian_t64,q08,2,8,cpu_share,20,0.98889166,0.989365363,0.25
appian_t64,q08,4,1,cpu_share,20,0.993548387,0.992307949,0.15
appian_t64,q08,4,1.5,cpu_share,20,0.992843724,0.991643762,0.15
appian_t64,q08,4,2,cpu_share,20,0.992119441,0.990980464,0.15
appian_t64,q08,4,4,cpu_share,20,0.989232852,0.988336131,0.15
appian_t64,q08,4,8,cpu_share,20,0.983509795,0.983089623,0.05
appian_t8,q01,2,1,cpu_share,20,1,1.02673473,0.35
appian_t8,q01,2,1.5,cpu_share,20,1,1.02673473,0.35
appian_t8,q01,2,2,cpu_share,20,1,1.02673473,0.35
appian_t8,q01,2,4,cpu_share,20,1,1.02673473,0.35
appian_t8,q01,2,8,cpu_share,20,1,1.02673473,0.35
appian_t8,q01,4,1,cpu_share,20,1,1.01675701,0.25
appian_t8,q01,4,1.5,cpu_share,20,1,1.01675701,0.25
appian_t8,q01,4,2,cpu_share,20,1,1.01675701,0.25
appian_t8,q01,4,4,cpu_share,20,1,1.01675701,0.25
appian_t8,q01,4,8,cpu_share,20,1,1.01675701,0.25
appian_t8,q02,2,1,cpu_share,20,0.957627119,0.976468055,0
appian_t8,q02,2,1.5,cpu_share,20,0.957623003,0.976463432,0
appian_t8,q02,2,2,cpu_share,20,0.957618887,0.976458808,0
appian_t8,q02,2,4,cpu_share,20,0.957602423,0.976440316,0
appian_t8,q02,2,8,cpu_share,20,0.957569497,0.976403334,0
appian_t8,q02,4,1,cpu_share,20,0.957627119,0.978584242,0.05
appian_t8,q02,4,1.5,cpu_share,20,0.957512091,0.978465079,0.05
appian_t8,q02,4,2,cpu_share,20,0.957397091,0.978345944,0.05
appian_t8,q02,4,4,cpu_share,20,0.956937366,0.977869697,0.05
appian_t8,q02,4,8,cpu_share,20,0.95601924,0.976918592,0.05
appian_t8,q03,2,1,cpu_share,20,1.08849558,1.08015345,0.8
appian_t8,q03,2,1.5,cpu_share,20,1.07948393,1.07115,0.8
appian_t8,q03,2,2,cpu_share,20,1.07062026,1.06229552,0.8
appian_t8,q03,2,4,cpu_share,20,1.03657493,1.0282955,0.8
appian_t8,q03,2,8,cpu_share,20,0.97459161,0.96643537,0.1
appian_t8,q03,4,1,cpu_share,20,1.08849558,1.07473816,0.85
appian_t8,q03,4,1.5,cpu_share,20,1.07897016,1.06536623,0.85
appian_t8,q03,4,2,cpu_share,20,1.06961002,1.05615635,0.85
appian_t8,q03,4,4,cpu_share,20,1.03373898,1.02085599,0.85
appian_t8,q03,4,8,cpu_share,20,0.96876115,0.956891011,0
appian_t8,q04,2,1,cpu_share,20,1,0.997471421,0.2
appian_t8,q04,2,1.5,cpu_share,20,1,0.997471421,0.2
appian_t8,q04,2,2,cpu_share,20,1,0.997471421,0.2
appian_t8,q04,2,4,cpu_share,20,1,0.997471421,0.2
appian_t8,q04,2,8,cpu_share,20,1,0.997471421,0.2
appian_t8,q04,4,1,cpu_share,20,1,0.994949237,0
appian_t8,q04,4,1.5,cpu_share,20,0.99999312,0.994942405,0
appian_t8,q04,4,2,cpu_share,20,0.99998624,0.994935573,0
appian_t8,q04,4,4,cpu_share,20,0.999958722,0.994908247,0
appian_t8,q04,4,8,cpu_share,20,0.999903689,0.9948536,0
appian_t8,q05,2,1,cpu_share,20,1,1,0
appian_t8,q05,2,1.5,cpu_share,20,1,1,0
appian_t8,q05,2,2,cpu_share,20,1,1,0
appian_t8,q05,2,4,cpu_share,20,1,1,0
appian_t8,q05,2,8,cpu_share,20,1,1,0
appian_t8,q05,4,1,cpu_share,20,1,1,0
appian_t8,q05,4,1.5,cpu_share,20,1,1,0
appian_t8,q05,4,2,cpu_share,20,1,1,0
appian_t8,q05,4,4,cpu_share,20,1,1,0
appian_t8,q05,4,8,cpu_share,20,1,1,0
appian_t8,q06,2,1,cpu_share,20,1,1.00424883,0.2
appian_t8,q06,2,1.5,cpu_share,20,0.999874804,1.00412386,0.2
appian_t8,q06,2,2,cpu_share,20,0.99974964,1.00399893,0.2
appian_t8,q06,2,4,cpu_share,20,0.999249295,1.0034995,0.2
appian_t8,q06,2,8,cpu_share,20,0.998250107,1.00250213,0.2
appian_t8,q06,4,1,cpu_share,20,1,0.991556197,0.2
appian_t8,q06,4,1.5,cpu_share,20,0.999826473,0.991384925,0.2
appian_t8,q06,4,2,cpu_share,20,0.999653006,0.991213712,0.2
appian_t8,q06,4,4,cpu_share,20,0.998959739,0.990529451,0.2
appian_t8,q06,4,8,cpu_share,20,0.997576087,0.989163762,0.2
appian_t8,q07,2,1,cpu_share,20,1,0.995288857,0.1
appian_t8,q07,2,1.5,cpu_share,20,0.999737116,0.995028923,0.1
appian_t8,q07,2,2,cpu_share,20,0.99947437,0.994769125,0.1
appian_t8,q07,2,4,cpu_share,20,0.998424765,0.993731288,0.1
appian_t8,q07,2,8,cpu_share,20,0.996332155,0.991662101,0.1
appian_t8,q07,4,1,cpu_share,20,0.930555556,0.934823175,0
appian_t8,q07,4,1.5,cpu_share,20,0.930040815,0.934308459,0
appian_t8,q07,4,2,cpu_share,20,0.929526644,0.933794309,0
appian_t8,q07,4,4,cpu_share,20,0.92747563,0.931743358,0
appian_t8,q07,4,8,cpu_share,20,0.923400638,0.927668369,0
appian_t8,q08,2,1,cpu_share,20,1,1.00284188,0.35
appian_t8,q08,2,1.5,cpu_share,20,0.999838873,1.00267938,0.35
appian_t8,q08,2,2,cpu_share,20,0.999677798,1.00251694,0.35
appian_t8,q08,2,4,cpu_share,20,0.999034017,1.00186769,0.35
appian_t8,q08,2,8,cpu_share,20,0.997748939,1.00057171,0.3
appian_t8,q08,4,1,cpu_share,20,1,0.998696273,0.35
appian_t8,q08,4,1.5,cpu_share,20,0.999741061,0.998439724,0.35
appian_t8,q08,4,2,cpu_share,20,0.999482257,0.998183308,0.35
appian_t8,q08,4,4,cpu_share,20,0.998448377,0.997158957,0.35
appian_t8,q08,4,8,cpu_share,20,0.99638702,0.995116551,0.35
job_t1,10a,2,1,cpu_share,20,1.15985051,1.35305253,1
job_t1,10a,2,1,direct_add,20,1.15985051,1.35305253,1
job_t1,10a,2,1.5,cpu_share,20,1.15008488,1.33766635,1
job_t1,10a,2,1.5,direct_add,20,1.15082268,1.33881994,1
job_t1,10a,2,2,cpu_share,20,1.14048292,1.32263588,1
job_t1,10a,2,2,direct_add,20,1.1419348,1.32489193,1
job_t1,10a,2,4,cpu_share,20,1.09636089,1.2658288,0.9
job_t1,10a,2,4,direct_add,20,1.10141218,1.272033,0.95
job_t1,10a,2,8,cpu_share,20,1.00957199,1.1659819,0.55
job_t1,10a,2,8,direct_add,20,1.02015051,1.17828565,0.6
job_t1,10a,4,1,cpu_share,20,1.68670151,1.6511713,1
job_t1,10a,4,1,direct_add,20,1.68670151,1.6511713,1
