dataset_id,query,seed,comparison,runtime_speedup,profile_latency_speedup,cpu_time_reduction,cumulative_cardinality_reduction,normalized_cumulative_cardinality_reduction,peak_memory_reduction,hash_join_timing_reduction,rows_scanned_reduction,treatment_create_bf_count,treatment_use_bf_count,treatment_bf_timing,treatment_bf_cpu_fraction,treatment_thc_instantiated_count,treatment_thc_frozen_count,treatment_thc_abandoned_count,join_signature_match
appian_t1,q01,17,thc_vs_forward,0.971326165,0.972788857,0.97323186,1,1,1,0.966445088,1,0,0,0,0,1,0,0,1
appian_t1,q01,17,backward_vs_forward,1.0037037,1.00509267,1.00524254,1,1,1,1.00625628,1,0,0,0,0,0,0,0,1
appian_t1,q01,17,full_vs_baseline,1.0037037,1.00476218,1.00490444,1,1,1,1.00397251,1,0,0,0,0,0,0,0,1
appian_t1,q01,18,thc_vs_forward,0.97833935,0.977856444,0.979056669,1,1,1,0.970256433,1,0,0,0,0,1,0,0,1
appian_t1,q01,18,backward_vs_forward,1,0.997575593,0.99754383,1,1,1,0.997198816,1,0,0,0,0,0,0,0,1
appian_t1,q01,18,full_vs_baseline,1.03321033,1.03317298,1.03360364,1,1,1,1.00819287,1,0,0,0,0,0,0,0,1
appian_t1,q01,19,thc_vs_forward,0.992779783,0.992928314,0.994483535,1,1,1,0.990871613,1,0,0,0,0,1,0,0,1
appian_t1,q01,19,backward_vs_forward,1.00732601,1.00564029,1.00573198,1,1,1,1.00855849,1,0,0,0,0,0,0,0,1
appian_t1,q01,19,full_vs_baseline,0.989010989,0.985550896,0.986183466,1,1,1,0.98430613,1,0,0,0,0,0,0,0,1
appian_t1,q02,0,thc_vs_forward,0.944785276,0.944174277,0.944101142,1,1,1,0.93076175,1,2,2,0.000116372,8.16974453e-06,6,0,0,1
appian_t1,q02,0,backward_vs_forward,1.00362056,1.00358272,1.00355746,0.949530374,0.999597109,0.999564593,1.00439764,0.946834764,6,7,0.003727122,0.000278136065,0,0,0,1
appian_t1,q02,0,full_vs_baseline,0.98769008,0.987527098,0.987786849,0.949530302,0.999597109,0.999129185,0.979663682,0.946834764,6,7,0.003727122,0.000278136065,0,0,0,1
appian_t1,q02,1,thc_vs_forward,0.934886909,0.934593335,0.93505278,1,1,1,0.921268395,1,2,2,0.000120199,8.4890713e-06,6,0,0,1
appian_t1,q02,1,backward_vs_forward,0.981294964,0.980897872,0.981912062,0.949530374,0.999597109,0.999564593,0.983819824,0.946834764,6,7,0.003552872,0.000263496807,0,0,0,1
appian_t1,q02,1,full_vs_baseline,0.967625899,0.967004554,0.968129377,0.949530302,0.999597109,0.999129185,0.966942423,0.946834764,6,7,0.003552872,0.000263496807,0,0,0,1
appian_t1,q02,2,thc_vs_forward,0.951890034,0.951570528,0.951857905,1,1,1.0000034,0.938488425,1,2,2,0.000112974,7.99907048e-06,6,0,0,1
appian_t1,q02,2,backward_vs_forward,1.00507983,1.00476739,1.005911,0.949530374,0.999597109,0.999564593,1.00354917,0.946834764,6,7,0.003702077,0.000277009015,0,0,0,1
appian_t1,q02,2,full_vs_baseline,0.985486212,0.985064446,0.986777924,0.949530302,0.999597109,0.999129185,0.983477002,0.946834764,6,7,0.003702077,0.000277009015,0,0,0,1
appian_t1,q02,3,thc_vs_forward,0.934111187,0.933328325,0.933694294,1,1,1,0.919989408,1,2,2,0.000112436,7.9443271e-06,6,0,0,1
appian_t1,q02,3,backward_vs_forward,0.997800587,0.998037794,0.998378851,0.949530374,0.999597109,0.999564593,0.997679354,0.946834764,6,7,0.003549927,0.000268201882,0,0,0,1
appian_t1,q02,3,full_vs_baseline,0.989002933,0.988893581,0.989408393,0.949530302,0.999597109,0.999129185,0.984115104,0.946834764,6,7,0.003549927,0.000268201882,0,0,0,1
appian_t1,q02,4,thc_vs_forward,0.955400697,0.954908016,0.954189733,1,1,1,0.940423222,1,2,2,0.000113017,8.11050518e-06,6,0,0,1
appian_t1,q02,4,backward_vs_forward,0.994198695,0.994054636,0.994662953,0.949530374,0.999597109,0.999564593,0.991614854,0.946834764,6,7,0.003597445,0.000269115987,0,0,0,1
appian_t1,q02,4,full_vs_baseline,0.9862219,0.98650157,0.987378264,0.949530302,0.999597109,0.999129185,0.977330124,0.946834764,6,7,0.003597445,0.000269115987,0,0,0,1
appian_t1,q02,5,thc_vs_forward,0.937711578,0.937680484,0.938473707,1,1,1,0.922467331,1,2,2,0.000123692,8.6306041e-06,6,0,0,1
appian_t1,q02,5,backward_vs_forward,1,1.00065092,1.00147573,0.949530374,0.999597109,0.999564593,0.99784978,0.946834764,6,7,0.004048229,0.000301427573,0,0,0,1
appian_t1,q02,5,full_vs_baseline,0.973285199,0.973329834,0.974247134,0.949530302,0.999597109,0.999129185,0.969908468,0.946834764,6,7,0.004048229,0.000301427573,0,0,0,1
appian_t1,q02,6,thc_vs_forward,0.940580689,0.940138317,0.939298538,1,1,1,0.922181921,1,2,2,0.000125545,8.72744497e-06,6,0,0,1
appian_t1,q02,6,backward_vs_forward,1.02051282,1.02061548,1.02040155,0.949530374,0.999597109,0.999550993,1.01934589,0.946834764,6,7,0.003568693,0.000269503462,0,0,0,1
appian_t1,q02,6,full_vs_baseline,0.997802198,0.99740046,0.998347223,0.949530302,0.999597109,0.999129185,0.994623947,0.946834764,6,7,0.003568693,0.000269503462,0,0,0,1
appian_t1,q02,7,thc_vs_forward,0.921832884,0.921360417,0.92187218,1,1,1,0.908623791,1,2,2,0.000136687,9.48526444e-06,6,0,0,1
appian_t1,q02,7,backward_vs_forward,0.991304348,0.991331688,0.992754376,0.949530374,0.999597109,0.999564593,0.987206651,0.946834764,6,7,0.003673449,0.000274515801,0,0,0,1
appian_t1,q02,7,full_vs_baseline,0.99057971,0.990725594,0.991981334,0.949530302,0.999597109,0.999129185,0.98286201,0.946834764,6,7,0.003673449,0.000274515801,0,0,0,1
appian_t1,q02,8,thc_vs_forward,0.947802198,0.947575718,0.947978892,1,1,1,0.937515082,1,2,2,0.000118571,8.39177223e-06,6,0,0,1
appian_t1,q02,8,backward_vs_forward,0.989247312,0.988886416,0.990052386,0.949530374,0.999597109,0.999564593,0.994093462,0.946834764,6,7,0.003860899,0.00028537975,0,0,0,1
appian_t1,q02,8,full_vs_baseline,0.974193548,0.973437662,0.974677244,0.949530302,0.999597109,0.999129185,0.973063601,0.946834764,6,7,0.003860899,0.00028537975,0,0,0,1
appian_t1,q02,9,thc_vs_forward,0.960824742,0.961312447,0.961737384,1,1,1,0.949864186,1,2,2,0.000112558,7.97538632e-06,6,0,0,1
appian_t1,q02,9,backward_vs_forward,1.02643172,1.02708014,1.02807033,0.949530374,0.999597109,0.999564593,1.02768416,0.946834764,6,7,0.003574205,0.000270720502,0,0,0,1
appian_t1,q02,9,full_vs_baseline,1.00587372,1.00594914,1.00728767,0.949530302,0.999597109,0.999129185,1.00189303,0.946834764,6,7,0.003574205,0.000270720502,0,0,0,1
appian_t1,q02,10,thc_vs_forward,0.937585734,0.937068508,0.936836617,1,1,1.00001361,0.923058583,1,2,2,0.000115932,8.18792578e-06,6,0,0,1
appian_t1,q02,10,backward_vs_forward,0.989862419,0.989298168,0.989731532,0.949530374,0.999597109,0.999564593,0.990423788,0.946834764,6,7,0.003394816,0.000253303015,0,0,0,1
appian_t1,q02,10,full_vs_baseline,0.98769008,0.987714491,0.988406202,0.949530302,0.999597109,0.999129185,0.985079819,0.946834764,6,7,0.003394816,0.000253303015,0,0,0,1
appian_t1,q02,11,thc_vs_forward,0.943989071,0.943355122,0.94225197,1,1,1,0.925858174,1,2,2,0.000110951,7.80248449e-06,6,0,0,1
appian_t1,q02,11,backward_vs_forward,1.00436047,1.00396715,1.00332621,0.949530374,0.999597109,0.999578187,1.00162884,0.946834764,6,7,0.003682627,0.00027576207,0,0,0,1
appian_t1,q02,11,full_vs_baseline,0.96875,0.968361931,0.969332825,0.949530302,0.999597109,0.999142773,0.963665691,0.946834764,6,7,0.003682627,0.00027576207,0,0,0,1
appian_t1,q02,12,thc_vs_forward,0.9559532,0.956016535,0.955237702,1,1,1,0.939017709,1,2,2,0.000116306,8.24316615e-06,6,0,0,1
appian_t1,q02,12,backward_vs_forward,1.00798258,1.00788109,1.00802182,0.949530374,0.999597109,0.99957139,1.00758969,0.946834764,6,7,0.003382,0.000252943787,0,0,0,1
appian_t1,q02,12,full_vs_baseline,0.995645864,0.995472307,0.996835248,0.949530302,0.999597109,0.999135979,0.995231116,0.946834764,6,7,0.003382,0.000252943787,0,0,0,1
appian_t1,q02,13,thc_vs_forward,0.954451346,0.954252319,0.954226406,1,1,1,0.941315238,1,2,2,0.000117548,8.35369151e-06,6,0,0,1
appian_t1,q02,13,backward_vs_forward,1.01691176,1.01715776,1.01794335,0.949530374,0.999597109,0.999564593,1.01716007,0.946834764,6,7,0.003526572,0.000267354885,0,0,0,1
appian_t1,q02,13,full_vs_baseline,0.991911765,0.991524531,0.992618102,0.949530302,0.999597109,0.999129185,0.985614068,0.946834764,6,7,0.003526572,0.000267354885,0,0,0,1
appian_t1,q02,14,thc_vs_forward,0.934156379,0.934152482,0.934489384,1,1,1,0.922272962,1,2,2,0.000116197,8.21002813e-06,6,0,0,1
appian_t1,q02,14,backward_vs_forward,0.994160584,0.994655344,0.995575152,0.949530374,0.999597109,0.999564593,0.993536503,0.946834764,6,7,0.003428686,0.000258093532,0,0,0,1
appian_t1,q02,14,full_vs_baseline,0.996350365,0.996408269,0.997163184,0.949530302,0.999597109,0.999129185,0.987099207,0.946834764,6,7,0.003428686,0.000258093532,0,0,0,1
appian_t1,q02,15,thc_vs_forward,0.92640108,0.925668779,0.925490886,1,1,1,0.911533208,1,2,2,0.000126498,8.79584657e-06,6,0,0,1
appian_t1,q02,15,backward_vs_forward,1.00882353,1.0088632,1.0086942,0.949530374,0.999597109,0.999564593,1.00760302,0.946834764,6,7,0.003468242,0.000262839576,0,0,0,1
appian_t1,q02,15,full_vs_baseline,0.999264706,0.999296059,0.999932336,0.949530302,0.999597109,0.999129185,0.992434454,0.946834764,6,7,0.003468242,0.000262839576,0,0,0,1
appian_t1,q02,16,thc_vs_forward,0.944822888,0.944664194,0.944050299,1,1,1,0.928536377,1,2,2,0.000113993,8.00033662e-06,6,0,0,1
appian_t1,q02,16,backward_vs_forward,0.999279539,0.999575567,0.999027421,0.949530374,0.999597109,0.999567991,0.998858919,0.946834764,6,7,0.003674422,0.000272898648,0,0,0,1
appian_t1,q02,16,full_vs_baseline,0.972622478,0.972371182,0.973676738,0.949530302,0.999597109,0.999132582,0.97131534,0.946834764,6,7,0.003674422,0.000272898648,0,0,0,1
appian_t1,q02,17,thc_vs_forward,0.944709898,0.944626661,0.944082064,1,1,1,0.924686282,1,2,2,0.000109267,7.68001832e-06,6,0,0,1
appian_t1,q02,17,backward_vs_forward,0.994252874,0.99491474,0.995290141,0.949530374,0.999597109,0.999578187,0.995247033,0.946834764,6,7,0.0036539,0.000270750863,0,0,0,1
appian_t1,q02,17,full_vs_baseline,0.957614943,0.957612083,0.959251019,0.949530302,0.999597109,0.999142773,0.956508521,0.946834764,6,7,0.0036539,0.000270750863,0,0,0,1
appian_t1,q02,18,thc_vs_forward,0.944672131,0.944455027,0.944475147,1,1,0.999986394,0.929448567,1,2,2,0.000119064,8.37649674e-06,6,0,0,1
appian_t1,q02,18,backward_vs_forward,1.00728332,1.00735714,1.00782057,0.949530374,0.999597109,0.999550993,1.00826251,0.946834764,6,7,0.003555372,0.000266906829,0,0,0,1
appian_t1,q02,18,full_vs_baseline,0.978878369,0.978796864,0.979914135,0.949530302,0.999597109,0.999129185,0.976880697,0.946834764,6,7,0.003555372,0.000266906829,0,0,0,1
appian_t1,q02,19,thc_vs_forward,0.941740918,0.94106869,0.940653632,1,1,1,0.926795312,1,2,2,0.000114724,8.09746105e-06,6,0,0,1
appian_t1,q02,19,backward_vs_forward,0.989913545,0.989525141,0.98944067,0.949530374,0.999597109,0.999564593,0.987390131,0.946834764,6,7,0.003498924,0.000259770073,0,0,0,1
appian_t1,q02,19,full_vs_baseline,0.984149856,0.983975532,0.984299294,0.949530302,0.999597109,0.999129185,0.975508272,0.946834764,6,7,0.003498924,0.000259770073,0,0,0,1
appian_t1,q03,0,thc_vs_forward,0.879765396,0.876349833,0.876375463,1,1,1,0.855450845,1,2,2,0.106088079,0.0161741311,4,1,0,1
appian_t1,q03,0,backward_vs_forward,0.988467875,0.986233781,0.986605185,0.895566698,0.998702281,1.00026548,0.983567817,0.582546808,5,10,0.11000318,0.0188804699,0,0,0,1
appian_t1,q03,0,full_vs_baseline,1.1416804,1.14631024,1.14533459,1.07088793,1.31837455,0.999999741,1.1995912,0.546411932,5,10,0.11000318,0.0188804699,0,0,0,1
appian_t1,q03,1,thc_vs_forward,0.882608696,0.880493889,0.878236533,1,1,1,0.8541562,1,2,2,0.107747673,0.0162054091,4,1,0,1
appian_t1,q03,1,backward_vs_forward,0.983844911,0.98348465,0.983063732,0.896439611,0.998715609,1.0002502,0.981414836,0.582546808,5,10,0.111726224,0.0188095063,0,0,0,1
appian_t1,q03,1,full_vs_baseline,1.03231018,1.03281425,1.03886041,1.01596602,1.24834852,0.99949912,1.06890125,0.546411932,5,10,0.111726224,0.0188095063,0,0,0,1
appian_t1,q03,2,thc_vs_forward,0.878612717,0.87524655,0.87393066,1,1,1,0.852679959,1,2,2,0.107285801,0.0160802038,4,1,0,1
appian_t1,q03,2,backward_vs_forward,1.00330033,1.00109669,1.00021992,0.896439611,0.998715609,1.0002502,1.00637846,0.582546808,5,10,0.110076911,0.0188826984,0,0,0,1
appian_t1,q03,2,full_vs_baseline,1.06270627,1.06371848,1.06793677,1.01596602,1.24834852,0.99949912,1.11110101,0.546411932,5,10,0.110076911,0.0188826984,0,0,0,1
appian_t1,q03,3,thc_vs_forward,0.909090909,0.908266017,0.907482503,1,1,1,0.886558422,1,2,2,0.107263916,0.0163471839,4,1,0,1
appian_t1,q03,3,backward_vs_forward,1.0130719,1.01407168,1.01258988,0.896439611,0.998715609,1.0002502,1.01596399,0.582546808,5,10,0.111750978,0.0190036033,0,0,0,1
appian_t1,q03,3,full_vs_baseline,1.0751634,1.07666234,1.08041547,1.01596602,1.24834852,0.99949912,1.11159479,0.546411932,5,10,0.111750978,0.0190036033,0,0,0,1
appian_t1,q03,4,thc_vs_forward,0.880706922,0.878044915,0.877717179,1,1,1,0.856602861,1,2,2,0.105608909,0.0161247666,4,1,0,1
appian_t1,q03,4,backward_vs_forward,0.972357724,0.971932636,0.972883048,0.895566698,0.998702281,1.00026548,0.973512407,0.582546808,5,10,0.131205686,0.0222050407,0,0,0,1
appian_t1,q03,4,full_vs_baseline,1.09430894,1.09483887,1.09905106,1.07088793,1.31837455,0.999999741,1.15123513,0.546411932,5,10,0.131205686,0.0222050407,0,0,0,1
appian_t1,q03,5,thc_vs_forward,0.870875179,0.869759864,0.868163036,1,1,1,0.848851658,1,2,2,0.107299708,0.015969836,4,1,0,1
appian_t1,q03,5,backward_vs_forward,1.0066335,1.00759355,1.00544175,0.896439611,0.998715609,1.0002502,1.01019742,0.582546808,5,10,0.110458171,0.0190394933,0,0,0,1
appian_t1,q03,5,full_vs_baseline,1.07462687,1.07642504,1.07837667,1.01596602,1.24834852,0.99949912,1.12058172,0.546411932,5,10,0.110458171,0.0190394933,0,0,0,1
appian_t1,q03,6,thc_vs_forward,0.880706922,0.88113296,0.878318246,1,1,1,0.854788463,1,2,2,0.106184224,0.0162615043,4,1,0,1
appian_t1,q03,6,backward_vs_forward,1.00167504,1.00442248,1.00091529,0.895566698,0.998702281,1.00026548,1.00093239,0.582546808,5,10,0.107707167,0.0187970953,0,0,0,1
appian_t1,q03,6,full_vs_baseline,1.14237856,1.14830493,1.15272685,1.07088793,1.31837455,0.999999741,1.2129155,0.546411932,5,10,0.107707167,0.0187970953,0,0,0,1
appian_t1,q03,7,thc_vs_forward,0.910533911,0.909470419,0.911049482,1,1,1,0.887829452,1,2,2,0.107712292,0.0161357668,4,1,0,1
appian_t1,q03,7,backward_vs_forward,1.04991681,1.04969903,1.0515322,0.896439611,0.998715609,1.0002502,1.05412616,0.582546808,5,10,0.110653821,0.0191324844,0,0,0,1
appian_t1,q03,7,full_vs_baseline,1.05324459,1.05487147,1.05769117,1.01596602,1.24834852,0.99949912,1.09447254,0.546411932,5,10,0.110653821,0.0191324844,0,0,0,1
appian_t1,q03,8,thc_vs_forward,0.897897898,0.896378663,0.89211491,1,1,1,0.866067757,1,2,2,0.103448152,0.0160990355,4,1,0,1
appian_t1,q03,8,backward_vs_forward,0.985172982,0.985471413,0.983399316,0.895566698,0.998702281,1.00026548,0.980092858,0.582546808,5,10,0.1095388,0.0187911865,0,0,0,1
appian_t1,q03,8,full_vs_baseline,1.13179572,1.13398932,1.14124559,1.07088793,1.31837455,0.999999741,1.19288982,0.546411932,5,10,0.1095388,0.0187911865,0,0,0,1
appian_t1,q03,9,thc_vs_forward,0.909356725,0.90660661,0.906927933,1,1,1,0.8890157,1,2,2,0.106299931,0.0161017093,4,1,0,1
appian_t1,q03,9,backward_vs_forward,1.01468189,1.01544673,1.01500717,0.896439611,0.998715609,1.0002502,1.01551172,0.582546808,5,10,0.114024348,0.0193300479,0,0,0,1
appian_t1,q03,9,full_vs_baseline,1.02773246,1.02946782,1.03231482,1.01596602,1.24834852,0.99949912,1.06625546,0.546411932,5,10,0.114024348,0.0193300479,0,0,0,1
appian_t1,q03,10,thc_vs_forward,0.906942393,0.904969983,0.905240347,1,1,1,0.875431943,1,2,2,0.105890399,0.016211757,4,1,0,1
appian_t1,q03,10,backward_vs_forward,1.01655629,1.02156263,1.02238509,0.896439611,0.998715609,1.0002502,1.01650505,0.582546808,5,10,0.109997983,0.0190199262,0,0,0,1
appian_t1,q03,10,full_vs_baseline,1.0910596,1.09648598,1.09847179,1.01596602,1.24834852,0.99949912,1.13524495,0.546411932,5,10,0.109997983,0.0190199262,0,0,0,1
appian_t1,q03,11,thc_vs_forward,0.90461997,0.903100851,0.903100162,1,1,1,0.882126037,1,2,2,0.106469072,0.0164557055,4,1,0,1
appian_t1,q03,11,backward_vs_forward,0.982200647,0.981660652,0.986758598,0.896439611,0.998715609,1.0002502,0.987822262,0.582546808,5,10,0.11154189,0.0188367527,0,0,0,1
appian_t1,q03,11,full_vs_baseline,1.01456311,1.01531532,1.02301689,1.01596602,1.24834852,0.99949912,1.05673154,0.546411932,5,10,0.11154189,0.0188367527,0,0,0,1
appian_t1,q03,12,thc_vs_forward,0.895894428,0.894040559,0.894203974,1,1,1,0.876558956,1,2,2,0.106405821,0.0161892614,4,1,0,1
appian_t1,q03,12,backward_vs_forward,1.00658979,1.00649424,1.00664066,0.895566698,0.998702281,1.00026548,1.01047547,0.582546808,5,10,0.109358503,0.0187306168,0,0,0,1
appian_t1,q03,12,full_vs_baseline,1.11037891,1.11240291,1.11602262,1.07088793,1.31837455,0.999999741,1.17130118,0.546411932,5,10,0.109358503,0.0187306168,0,0,0,1
appian_t1,q03,13,thc_vs_forward,0.90327381,0.903172464,0.902672541,1,1,1,0.881057996,1,2,2,0.105782779,0.0163473275,4,1,0,1
appian_t1,q03,13,backward_vs_forward,0.977455717,0.978451242,0.977366629,0.896439611,0.998715609,1.0002502,0.975526035,0.582546808,5,10,0.112992154,0.0189063352,0,0,0,1
