dataset_id,benchmark,suite,scale_factor,threads,query,case,case_name,success_count,timeout_count,oom_count,completion_rate,min_runtime,median_runtime_success,p10_runtime_success,p90_runtime_success,iqr_runtime_success,cv_runtime_success,p90_p50,median_capped_runtime,median_regret,p90_regret,within_10pct_oracle_rate,bad_plan_rate_over_2x,best_seed
job_t1,job,job,,1,18c,3,THC,20,0,0,1,1.72,2.095,1.859,2.63,0.5075,0.142309414,1.25536993,2.095,0.218023256,0.529069767,0.25,0,9
job_t1,job,job,,1,18c,4,RPT+,20,0,0,1,2,2.255,2.218,2.321,0.0625,0.0580415129,1.02926829,2.255,0.1275,0.1605,0.1,0,9
job_t1,job,job,,1,19a,1,Baseline,20,0,0,1,1.57,2.765,1.67,4.073,0.9725,0.296054251,1.47305606,2.765,0.761146497,1.59426752,0.15,0.25,5
job_t1,job,job,,1,19a,2,Forward-only,20,0,0,1,1.31,1.415,1.319,1.543,0.155,0.061657808,1.09045936,1.415,0.0801526718,0.177862595,0.55,0,9
job_t1,job,job,,1,19a,3,THC,20,0,0,1,1.3,1.405,1.32,1.524,0.1375,0.0588340745,1.08469751,1.405,0.0807692308,0.172307692,0.55,0,12
job_t1,job,job,,1,19a,4,RPT+,20,0,0,1,1.22,1.285,1.23,1.361,0.0675,0.0358026771,1.05914397,1.285,0.0532786885,0.11557377,0.8,0,12
job_t1,job,job,,1,19b,1,Baseline,20,0,0,1,1.03,2.225,1.883,2.921,0.7125,0.234123206,1.31280899,2.225,1.16019417,1.83592233,0.05,0.65,5
job_t1,job,job,,1,19b,2,Forward-only,20,0,0,1,0.84,1.145,0.931,1.181,0.145,0.102078393,1.03144105,1.145,0.363095238,0.405952381,0.1,0,17
job_t1,job,job,,1,19b,3,THC,20,0,0,1,0.84,1.155,0.932,1.19,0.1475,0.102173048,1.03030303,1.155,0.375,0.416666667,0.1,0,17
job_t1,job,job,,1,19b,4,RPT+,20,0,0,1,0.84,1.15,0.932,1.181,0.1425,0.100298766,1.02695652,1.15,0.369047619,0.405952381,0.1,0,3
job_t1,job,job,,1,19c,1,Baseline,20,0,0,1,1.47,2.65,1.732,3.481,0.995,0.314549436,1.31358491,2.65,0.802721088,1.36802721,0.05,0.3,5
job_t1,job,job,,1,19c,2,Forward-only,20,0,0,1,1.25,1.41,1.259,1.585,0.1475,0.0862956164,1.12411348,1.41,0.128,0.268,0.4,0,10
job_t1,job,job,,1,19c,3,THC,20,0,0,1,1.24,1.415,1.26,1.571,0.19,0.0826001195,1.11024735,1.415,0.141129032,0.266935484,0.4,0,3
job_t1,job,job,,1,19c,4,RPT+,20,0,0,1,1.1,1.16,1.11,1.202,0.055,0.0350526656,1.0362069,1.16,0.0545454545,0.0927272727,0.9,0,19
job_t1,job,job,,1,19d,1,Baseline,20,0,0,1,2.01,3.64,2.132,11.362,3.1725,0.967781547,3.12142857,3.64,0.810945274,4.65273632,0.2,0.45,1
