dataset_id,benchmark,suite,scale_factor,threads,query,comparison,base_case,treatment_case,paired_success_count,treatment_completion_win_count,treatment_completion_loss_count,both_failed_count,median_speedup,geomean_speedup,p10_speedup,p90_speedup,treatment_win_rate_paired,tie_rate_paired,helped_at_least_10pct_rate,hurt_at_least_10pct_rate,at_least_2x_speedup_rate
job_t1,job,job,,1,1a,thc_vs_forward,2,3,20,0,0,0,1,1.00286201,0.941176471,1.0625,0.25,0.55,0,0,0
job_t1,job,job,,1,1a,backward_vs_forward,2,4,20,0,0,0,1.06666667,1.05517429,0.994117647,1.13333333,0.6,0.3,0.3,0,0
job_t1,job,job,,1,1a,full_vs_thc,3,4,20,0,0,0,1.06666667,1.05216299,1,1.13333333,0.6,0.4,0.2,0,0
job_t1,job,job,,1,1b,forward_vs_baseline,1,2,20,0,0,0,3.23636364,3.45576703,1.48636364,7.07272727,1,0,1,0,0.85
job_t1,job,job,,1,1b,thc_vs_baseline,1,3,20,0,0,0,3.22727273,3.37860099,1.36363636,7.07272727,1,0,1,0,0.85
job_t1,job,job,,1,1b,full_vs_baseline,1,4,20,0,0,0,3.6,3.71690888,1.5,7.78,1,0,1,0,0.85
job_t1,job,job,,1,1b,thc_vs_forward,2,3,20,0,0,0,1,0.977670357,0.915909091,1,0.05,0.65,0,0,0
job_t1,job,job,,1,1b,backward_vs_forward,2,4,20,0,0,0,1.09545455,1.07556697,0.916666667,1.1,0.55,0.25,0.05,0,0.05
job_t1,job,job,,1,1b,full_vs_thc,3,4,20,0,0,0,1.1,1.10013254,1,1.1,0.65,0.3,0.05,0,0.05
job_t1,job,job,,1,1c,forward_vs_baseline,1,2,20,0,0,0,1.97727273,1.6030693,0.619047619,3.25,0.85,0,0.8,0.15,0.5
job_t1,job,job,,1,1c,thc_vs_baseline,1,3,20,0,0,0,2,1.60631812,0.619047619,3.25,0.85,0,0.8,0.15,0.55
job_t1,job,job,,1,1c,full_vs_baseline,1,4,20,0,0,0,2,1.62464573,0.619047619,3.25,0.85,0,0.8,0.15,0.55
job_t1,job,job,,1,1c,thc_vs_forward,2,3,20,0,0,0,1,1.00202662,0.995454545,1.0047619,0.1,0.8,0,0,0
job_t1,job,job,,1,1c,backward_vs_forward,2,4,20,0,0,0,1,1.01345944,1,1.04761905,0.2,0.8,0.05,0,0
job_t1,job,job,,1,1c,full_vs_thc,3,4,20,0,0,0,1,1.0114097,1,1.04761905,0.25,0.7,0.05,0,0
job_t1,job,job,,1,1d,forward_vs_baseline,1,2,20,0,0,0,3.36363636,3.66223766,1.36363636,7.46363636,1,0,1,0,0.8
job_t1,job,job,,1,1d,thc_vs_baseline,1,3,20,0,0,0,3.36363636,3.64633945,1.36363636,7.38030303,1,0,1,0,0.8
job_t1,job,job,,1,1d,full_vs_baseline,1,4,20,0,0,0,3.48181818,3.92849536,1.48636364,7.46363636,1,0,1,0,0.85
job_t1,job,job,,1,1d,thc_vs_forward,2,3,20,0,0,0,1,0.995658881,1,1,0,0.95,0,0,0
job_t1,job,job,,1,1d,backward_vs_forward,2,4,20,0,0,0,1,1.07270356,1,1.1,0.15,0.85,0.05,0,0.05
job_t1,job,job,,1,1d,full_vs_thc,3,4,20,0,0,0,1,1.07738059,1,1.1,0.2,0.8,0.05,0,0.05
job_t1,job,job,,1,2a,forward_vs_baseline,1,2,20,0,0,0,1.75378788,1.93648474,1.48436508,2.53235294,1,0,1,0,0.3
job_t1,job,job,,1,2a,thc_vs_baseline,1,3,20,0,0,0,1.75378788,1.94072463,1.47222222,2.54010695,1,0,1,0,0.3
job_t1,job,job,,1,2a,full_vs_baseline,1,4,20,0,0,0,2.17241379,2.3433956,1.75757576,3.00333333,1,0,1,0,0.65
job_t1,job,job,,1,2a,thc_vs_forward,2,3,20,0,0,0,1,1.00218948,0.998245614,1.02950089,0.15,0.75,0,0,0
job_t1,job,job,,1,2a,backward_vs_forward,2,4,20,0,0,0,1.2,1.21012862,1.02727273,1.87,0.9,0.1,0.6,0,0
job_t1,job,job,,1,2a,full_vs_thc,3,4,20,0,0,0,1.2,1.20748486,1,1.87,0.85,0.1,0.6,0,0
job_t1,job,job,,1,2b,forward_vs_baseline,1,2,20,0,0,0,1.80506912,2.04012572,1.52919786,2.77741935,1,0,1,0,0.35
