dataset_id,benchmark,threads,query,baseline_best_seed,case1_runtime_on_baseline_best_seed,case2_runtime_on_baseline_best_seed,case3_runtime_on_baseline_best_seed,case4_runtime_on_baseline_best_seed,case1_status_on_baseline_best_seed,case2_status_on_baseline_best_seed,case3_status_on_baseline_best_seed,case4_status_on_baseline_best_seed,case2_speedup_vs_baseline_on_anchor,case3_speedup_vs_baseline_on_anchor,case4_speedup_vs_baseline_on_anchor,case1_own_best_runtime,case2_own_best_runtime,case3_own_best_runtime,case4_own_best_runtime,case1_own_best_seed,case2_own_best_seed,case3_own_best_seed,case4_own_best_seed
tpcds_sf10_t1,TPCDS SF10,1,Q68,17,1.95,1.54,1.54,1.54,success,success,success,success,1.26623377,1.26623377,1.26623377,1.95,1.54,1.44,1.44,17,0,1,0
tpcds_sf10_t1,TPCDS SF10,1,Q69,2,1.23,1.23,1.23,0.72,success,success,success,success,1,1,1.70833333,1.23,1.23,1.23,0.72,2,0,0,0
tpcds_sf10_t1,TPCDS SF10,1,Q70,0,3.48,3.27,3.28,2.87,success,success,success,success,1.06422018,1.06097561,1.21254355,3.48,3.27,3.28,2.77,0,0,0,10
tpcds_sf10_t1,TPCDS SF10,1,Q71,0,1.44,1.33,1.34,0.82,success,success,success,success,1.08270677,1.07462687,1.75609756,1.44,1.23,1.33,0.82,0,16,2,0
tpcds_sf10_t1,TPCDS SF10,1,Q72,5,12.07,3.58,3.79,3.28,success,success,success,success,3.37150838,3.18469657,3.67987805,12.07,2.87,2.87,2.87,5,2,2,6
tpcds_sf10_t1,TPCDS SF10,1,Q73,3,1.33,0.92,0.93,0.92,success,success,success,success,1.44565217,1.43010753,1.44565217,1.33,0.92,0.92,0.92,3,0,7,3
tpcds_sf10_t1,TPCDS SF10,1,Q74,8,5.63,5.32,5.12,5.12,success,success,success,success,1.05827068,1.09960938,1.09960938,5.63,5.12,5.12,5.02,8,16,6,14
tpcds_sf10_t1,TPCDS SF10,1,Q75,1,4.2,3.18,3.18,3.18,success,success,success,success,1.32075472,1.32075472,1.32075472,4.2,3.08,3.08,3.08,1,0,0,0
tpcds_sf10_t1,TPCDS SF10,1,Q76,1,1.74,1.75,1.74,1.34,success,success,success,success,0.994285714,1,1.29850746,1.74,1.74,1.74,1.33,1,7,1,19
tpcds_sf10_t1,TPCDS SF10,1,Q77,1,1.54,1.03,1.03,1.03,success,success,success,success,1.49514563,1.49514563,1.49514563,1.54,1.03,1.03,1.03,1,1,0,0
tpcds_sf10_t1,TPCDS SF10,1,Q78,0,7.68,7.89,8.2,6.46,success,success,success,success,0.97338403,0.936585366,1.18885449,7.68,7.69,8,5.95,0,16,19,3
tpcds_sf10_t1,TPCDS SF10,1,Q79,0,2.36,1.54,1.64,1.64,success,success,success,success,1.53246753,1.43902439,1.43902439,2.36,1.54,1.54,1.64,0,0,3,0
tpcds_sf10_t1,TPCDS SF10,1,Q80,11,3.08,1.74,1.75,1.44,success,success,success,success,1.77011494,1.76,2.13888889,3.08,1.64,1.75,1.34,11,3,0,2
tpcds_sf10_t1,TPCDS SF10,1,Q81,0,0.41,0.41,0.41,0.41,success,success,success,success,1,1,1,0.41,0.41,0.41,0.41,0,0,0,0
tpcds_sf10_t1,TPCDS SF10,1,Q82,0,0.82,0.82,0.82,0.51,success,success,success,success,1,1,1.60784314,0.82,0.82,0.82,0.51,0,0,0,0
