dataset_id,query,case,k,expected_best_capped_runtime,sampled_oracle_capped_runtime
job_t1,6a,3,20,0.48,0.48
job_t1,6a,4,1,0.5185,0.48
job_t1,6a,4,2,0.508526316,0.48
job_t1,6a,4,3,0.501131579,0.48
job_t1,6a,4,5,0.491093266,0.48
job_t1,6a,4,10,0.481594427,0.48
job_t1,6a,4,20,0.48,0.48
job_t1,6b,1,1,0.609,0.45
job_t1,6b,1,2,0.533736842,0.45
job_t1,6b,1,3,0.492447368,0.45
job_t1,6b,1,5,0.459340815,0.45
job_t1,6b,1,10,0.450070255,0.45
job_t1,6b,1,20,0.45,0.45
job_t1,6b,2,1,0.525,0.46
job_t1,6b,2,2,0.475894737,0.46
job_t1,6b,2,3,0.465552632,0.46
job_t1,6b,2,5,0.461589267,0.46
job_t1,6b,2,10,0.460054775,0.46
job_t1,6b,2,20,0.46,0.46
job_t1,6b,3,1,0.5245,0.46
job_t1,6b,3,2,0.475578947,0.46
job_t1,6b,3,3,0.465210526,0.46
